KK Nair,JW Hastings,6,5,0,0,0,0,0,1,2,5
JP Faulkner,KC Cariappa,3,0,2,1,0,0,0,0,2,5
AB de Villiers,CH Morris,11,7,0,1,0,3,0,0,1,3
Shakib Al Hasan,HH Pandya,4,1,1,0,0,1,0,1,4,5
CH Morris,RA Jadeja,2,0,2,0,0,0,0,0,1,2
P Negi,JW Hastings,3,3,0,0,0,0,0,0,7,5
SPD Smith,KJ Abbott,6,1,1,1,0,3,0,0,4,8
SP Narine,DJ Bravo,3,1,2,0,0,0,0,0,9,3
C Munro,B Kumar,4,1,2,1,0,0,0,0,3,3
DR Smith,M Morkel,2,0,1,0,0,1,0,0,5,2
MS Dhoni,BB Sran,6,3,2,0,0,0,1,0,2,3
SA Yadav,RA Jadeja,4,1,3,0,0,0,0,0,4,2
DJ Bravo,YS Chahal,5,1,3,0,0,0,0,1,5,9
SK Raina,Bipul Sharma,4,0,3,0,0,1,0,0,4,3
SW Billings,MM Sharma,1,0,1,0,0,0,0,0,4,2
DR Smith,SR Watson,7,3,4,0,0,0,0,0,5,9
MJ Guptill,Imran Tahir,9,1,5,0,0,1,2,0,7,5
KL Rahul,KH Pandya,12,5,6,0,1,0,0,0,2,5
GJ Bailey,AS Rajpoot,7,1,4,1,0,1,0,0,3,3
JC Buttler,VR Aaron,9,2,4,1,0,1,1,0,2,4
F du Plessis,JP Faulkner,6,2,2,2,0,0,0,0,5,8
DA Warner,UT Yadav,6,2,1,1,0,1,0,1,5,9
RR Pant,BB Sran,3,1,2,0,0,0,0,0,4,3
UBT Chand,Sandeep Sharma,1,1,0,0,0,0,0,0,8,9
SR Watson,SP Narine,4,1,1,0,0,1,1,0,4,9
DJ Hooda,M Morkel,2,0,2,0,0,0,0,0,5,2
S Dhawan,A Mishra,6,1,4,0,0,0,0,1,4,3
MM Sharma,Z Khan,2,1,0,0,0,0,0,1,7,9
BB McCullum,Iqbal Abdulla,6,1,4,0,0,0,0,1,5,5
S Dhawan,M Ashwin,4,1,2,1,0,0,0,0,4,2
RV Uthappa,CR Brathwaite,15,2,11,1,0,1,0,0,4,3
MR Marsh,RA Jadeja,7,4,1,1,0,0,0,1,9,2
N Rana,RA Jadeja,3,0,2,0,0,0,1,0,2,2
DR Smith,Imran Tahir,6,2,3,0,0,0,0,1,5,5
SR Watson,RA Jadeja,4,2,1,0,0,0,0,1,4,2
Gurkeerat Singh,DL Chahar,4,2,1,0,0,1,0,0,5,6
SS Tiwary,Parvez Rasool,8,1,3,1,0,3,0,0,4,4
RG Sharma,MM Sharma,5,3,2,0,0,0,0,0,4,2
SR Watson,KV Sharma,7,4,0,0,0,0,3,0,4,7
KA Pollard,Shakib Al Hasan,5,2,1,0,0,2,0,0,2,9
SN Khan,JJ Bumrah,9,4,2,0,0,1,1,1,6,5
DJ Bravo,AB Dinda,6,3,0,1,0,1,0,1,5,3
SK Raina,M Morkel,14,4,8,0,0,1,1,0,4,2
AB de Villiers,B Kumar,9,4,3,0,0,1,1,0,1,3
STR Binny,DS Kulkarni,5,1,3,1,0,0,0,0,4,3
JP Duminy,KV Sharma,5,1,1,2,0,1,0,0,2,7
RG Sharma,Iqbal Abdulla,12,3,6,0,0,1,1,1,4,5
SW Billings,R Bhatia,8,3,3,1,0,0,0,1,4,2
Sandeep Sharma,CH Gayle,3,0,3,0,0,0,0,0,9,3
AM Rahane,R Vinay Kumar,4,1,1,1,0,1,0,0,5,2
CR Brathwaite,BB Sran,1,0,1,0,0,0,0,0,1,3
P Kumar,MP Stoinis,3,0,2,0,0,1,0,0,7,2
AM Rahane,Shakib Al Hasan,9,3,5,0,0,1,0,0,5,9
AB de Villiers,A Zampa,4,2,1,0,0,0,0,1,1,10
AM Rahane,DS Kulkarni,14,5,6,1,0,2,0,0,5,3
KD Karthik,MJ McClenaghan,2,2,0,0,0,0,0,0,2,2
AM Rahane,YS Chahal,9,3,4,0,1,1,0,0,5,9
NV Ojha,AB Dinda,6,2,1,1,0,1,0,1,7,3
AJ Finch,M Ashwin,10,5,0,0,0,4,0,1,5,2
S Gopal,M Ashwin,5,3,1,0,0,0,0,1,8,2
JC Buttler,CH Morris,10,4,3,0,0,2,1,0,2,3
M Vijay,S Aravind,5,3,0,0,0,0,1,1,2,9
Gurkeerat Singh,A Nehra,3,0,1,1,0,1,0,0,5,3
G Gambhir,Z Khan,18,8,5,2,0,2,0,1,5,9
DJ Bravo,R Ashwin,1,1,0,0,0,0,0,0,5,2
GJ Bailey,PP Chawla,3,1,0,0,1,0,0,1,3,2
KK Nair,Harbhajan Singh,10,4,2,0,0,2,0,2,2,5
M Vijay,RA Jadeja,10,2,6,1,0,0,0,1,2,2
HH Pandya,KW Richardson,2,1,1,0,0,0,0,0,3,7
S Dhawan,KA Pollard,5,1,3,0,0,1,0,0,4,6
Sachin Baby,JJ Bumrah,3,1,2,0,0,0,0,0,4,5
BB Sran,NM Coulter-Nile,1,0,1,0,0,0,0,0,3,2
SN Khan,MJ McClenaghan,5,2,1,0,0,1,1,0,6,2
AJ Finch,RP Singh,5,3,2,0,0,0,0,0,5,2
KP Pietersen,Sandeep Sharma,5,2,2,1,0,0,0,0,2,9
Q de Kock,AD Russell,8,4,1,1,0,0,0,2,4,3
KH Pandya,KC Cariappa,3,1,1,0,1,0,0,0,1,5
NLTC Perera,R Dhawan,2,0,2,0,0,0,0,0,2,2
Ishan Kishan,MP Stoinis,8,3,4,0,0,0,0,1,3,2
AD Nath,TG Southee,4,1,1,1,0,1,0,0,3,9
KS Williamson,CH Morris,8,3,3,0,0,1,0,1,7,3
JC Buttler,CJ Jordan,4,0,2,0,0,0,2,0,2,3
BB McCullum,AD Russell,5,4,1,0,0,0,0,0,5,3
SW Billings,R Ashwin,5,1,2,0,0,0,2,0,4,2
Z Khan,JW Hastings,4,2,0,0,0,1,0,1,9,5
N Rana,SB Jakati,11,3,4,0,0,3,1,0,2,4
AM Rahane,JJ Bumrah,7,3,1,1,0,2,0,0,5,5
KW Richardson,JJ Bumrah,1,0,1,0,0,0,0,0,7,5
DA Warner,MJ McClenaghan,25,11,6,1,0,4,3,0,5,2
RA Jadeja,RP Singh,1,1,0,0,0,0,0,0,7,2
MS Dhoni,Iqbal Abdulla,9,0,8,1,0,0,0,0,2,5
KA Pollard,DJ Bravo,3,3,0,0,0,0,0,0,2,3
EJG Morgan,MJ McClenaghan,2,1,1,0,0,0,0,0,5,2
KA Pollard,MM Sharma,7,3,0,3,0,0,0,1,2,2
DA Warner,DR Smith,7,1,3,0,0,2,1,0,5,3
SV Samson,KC Cariappa,7,1,4,0,0,1,1,0,4,5
MK Pandey,MJ McClenaghan,7,3,3,0,0,1,0,0,2,2
NLTC Perera,HV Patel,6,0,2,0,0,3,1,0,2,8
CH Morris,MJ McClenaghan,5,2,1,0,0,2,0,0,1,2
SE Marsh,RA Jadeja,1,1,0,0,0,0,0,0,4,2
S Dhawan,CH Gayle,14,8,4,0,0,2,0,0,4,3
CH Gayle,MM Sharma,4,2,1,0,0,1,0,0,5,2
N Rana,DR Smith,10,3,5,0,0,1,1,0,2,3
M Vohra,BB Sran,11,5,1,2,0,2,1,0,2,3
CH Morris,Iqbal Abdulla,3,0,2,0,0,1,0,0,1,5
KS Williamson,R Ashwin,13,8,4,0,0,1,0,0,7,2
N Rana,MM Sharma,4,3,0,0,0,0,1,0,2,2
AT Rayudu,A Nehra,3,1,1,0,0,0,0,1,5,3
SV Samson,SP Narine,4,2,1,0,0,0,0,1,4,9
TM Head,R Ashwin,2,1,1,0,0,0,0,0,4,2
AR Patel,JJ Bumrah,1,1,0,0,0,0,0,0,5,5
V Kohli,A Mishra,16,3,10,0,0,2,1,0,4,3
GJ Bailey,A Nehra,7,5,1,0,0,1,0,0,3,3
SV Samson,HH Pandya,3,0,2,0,0,1,0,0,4,5
SK Raina,JP Duminy,3,1,1,1,0,0,0,0,4,5
DJ Bravo,SR Watson,4,1,1,0,0,1,0,1,5,9
RG Sharma,RP Singh,4,1,1,1,0,1,0,0,4,2
SS Iyer,HH Pandya,4,2,1,0,0,0,0,1,9,5
UT Khawaja,B Kumar,3,1,2,0,0,0,0,0,4,3
R Bhatia,HV Patel,3,0,2,0,0,0,1,0,6,8
MJ Guptill,A Mishra,9,4,4,0,0,1,0,0,7,3
KL Rahul,MJ McClenaghan,24,13,2,1,0,3,4,1,2,2
V Kohli,TG Southee,17,9,5,1,0,1,1,0,4,9
PA Patel,MG Johnson,17,7,2,1,0,6,0,1,7,2
RG Sharma,JD Unadkat,8,3,3,0,0,0,2,0,4,6
KH Pandya,CH Morris,3,1,0,1,0,0,0,1,1,3
DJ Bravo,KH Pandya,4,2,2,0,0,0,0,0,5,5
MC Henriques,DS Kulkarni,6,2,2,0,0,2,0,0,7,3
V Kohli,Mustafizur Rahman,20,10,4,2,0,2,1,1,4,2
KL Rahul,KC Cariappa,3,1,1,0,0,0,0,1,2,5
DA Miller,DJ Bravo,13,3,7,1,0,1,0,1,5,3
KK Nair,AD Russell,15,7,3,3,0,2,0,0,2,3
PSP Handscomb,JJ Bumrah,4,3,1,0,0,0,0,0,9,5
F du Plessis,JJ Bumrah,12,7,2,0,0,1,2,0,5,5
JC Buttler,DJ Bravo,7,3,2,1,0,0,0,1,2,3
S Dhawan,CH Morris,8,4,3,1,0,0,0,0,4,3
AJ Finch,CJ Jordan,7,4,3,0,0,0,0,0,5,3
DA Miller,JP Faulkner,5,0,3,1,0,1,0,0,5,8
MS Dhoni,MM Sharma,10,3,3,1,0,2,0,1,2,2
DJ Bravo,A Nehra,4,1,1,1,0,1,0,0,5,3
CH Morris,MM Sharma,4,2,1,1,0,0,0,0,1,2
MC Henriques,MM Sharma,2,1,0,0,0,0,0,1,7,2
DJ Hooda,MP Stoinis,4,0,2,0,0,2,0,0,5,2
AT Rayudu,SM Boland,4,0,2,1,0,1,0,0,5,9
Sachin Baby,MJ McClenaghan,2,0,2,0,0,0,0,0,4,2
CH Morris,PP Chawla,6,3,1,0,0,1,0,1,1,2
AD Nath,Mustafizur Rahman,6,4,1,1,0,0,0,0,3,2
RV Uthappa,R Ashwin,3,1,0,0,0,1,0,1,4,2
CH Morris,R Ashwin,9,4,4,0,0,1,0,0,1,2
RA Jadeja,Mohammed Shami,10,4,3,0,0,1,1,1,7,2
MS Dhoni,A Mishra,3,0,3,0,0,0,0,0,2,3
GJ Maxwell,M Ashwin,4,0,2,0,0,1,1,0,5,2
Q de Kock,UT Yadav,6,4,0,0,0,1,1,0,4,9
DA Miller,AD Russell,4,3,0,0,0,0,0,1,5,3
M Vohra,TG Southee,5,3,2,0,0,0,0,0,2,9
KS Williamson,Shakib Al Hasan,3,0,2,1,0,0,0,0,7,9
Q de Kock,S Aravind,26,7,12,1,0,5,1,0,4,9
SE Marsh,UT Yadav,5,0,4,0,0,0,0,1,4,9
KA Pollard,A Nehra,3,3,0,0,0,0,0,0,2,3
SS Tiwary,A Mishra,9,4,3,0,0,1,1,0,4,3
SS Tiwary,Harbhajan Singh,12,2,8,1,0,1,0,0,4,5
KA Pollard,AD Russell,2,1,1,0,0,0,0,0,2,3
TG Southee,MP Stoinis,1,0,1,0,0,0,0,0,4,2
AM Rahane,DJ Bravo,7,1,2,3,0,1,0,0,5,3
Ishan Kishan,NLTC Perera,2,1,0,0,0,0,0,1,3,2
Q de Kock,KC Cariappa,9,4,2,0,1,2,0,0,4,5
V Kohli,NLTC Perera,24,8,9,1,0,3,2,1,4,2
AM Rahane,Parvez Rasool,5,0,4,0,0,1,0,0,5,4
Ishan Kishan,S Nadeem,2,1,1,0,0,0,0,0,3,9
RA Jadeja,BB Sran,9,1,6,2,0,0,0,0,7,3
IK Pathan,R Dhawan,2,1,0,0,0,0,0,1,3,2
DS Kulkarni,B Kumar,2,1,0,0,1,0,0,0,1,3
KK Nair,A Nehra,1,0,1,0,0,0,0,0,2,3
MS Dhoni,T Shamsi,11,1,6,2,0,2,0,0,2,9
RR Pant,R Ashwin,4,3,1,0,0,0,0,0,4,2
DS Kulkarni,Sandeep Sharma,4,1,0,3,0,0,0,0,1,9
M Vohra,Z Khan,7,6,1,0,0,0,0,0,2,9
M Vijay,M Ashwin,8,1,5,0,0,0,1,1,2,2
KD Karthik,DJ Hooda,4,1,1,0,0,1,0,1,2,3
SE Marsh,KA Pollard,3,0,2,1,0,0,0,0,4,6
KK Nair,Parvez Rasool,1,0,1,0,0,0,0,0,2,4
KS Williamson,P Kumar,5,3,1,0,0,0,0,1,7,2
AR Patel,CH Morris,5,1,2,1,0,0,1,0,5,3
M Vohra,M Ashwin,8,2,4,1,0,1,0,0,2,2
DA Warner,Harbhajan Singh,32,15,7,3,0,5,1,1,5,5
SA Yadav,T Shamsi,3,1,1,0,0,1,0,0,4,9
EJG Morgan,AD Russell,5,3,1,1,0,0,0,0,5,3
MC Henriques,KW Richardson,4,1,1,0,0,0,2,0,7,7
JP Faulkner,CH Morris,13,1,5,4,0,2,0,1,2,3
KL Rahul,AB Dinda,10,2,4,3,0,1,0,0,2,3
SN Khan,KH Pandya,4,1,2,1,0,0,0,0,6,5
AT Rayudu,SB Jakati,1,0,1,0,0,0,0,0,5,4
Q de Kock,MG Johnson,11,3,4,0,0,3,1,0,4,2
BB McCullum,AB Dinda,4,2,2,0,0,0,0,0,5,3
UT Khawaja,Z Khan,10,5,2,0,0,3,0,0,4,9
BB McCullum,DJ Hooda,2,1,1,0,0,0,0,0,5,3
AM Rahane,PP Chawla,9,2,4,0,1,1,1,0,5,2
AB de Villiers,MC Henriques,18,0,12,1,0,3,2,0,1,2
SV Samson,P Sahu,6,2,2,1,0,0,1,0,4,2
MK Pandey,P Kumar,3,2,0,0,0,0,0,1,2,2
NS Naik,B Kumar,5,2,3,0,0,0,0,0,9,3
DA Miller,JJ Bumrah,7,1,2,3,0,0,1,0,5,5
MK Pandey,Harbhajan Singh,8,3,3,0,0,0,1,1,2,5
Yuvraj Singh,J Yadav,4,0,2,1,0,1,0,0,4,5
KS Williamson,Mohammed Shami,6,2,3,0,0,1,0,0,7,2
SA Yadav,DR Smith,7,5,0,1,0,0,0,1,4,3
SR Watson,AD Russell,5,1,1,0,0,3,0,0,4,3
DA Warner,YK Pathan,14,6,7,1,0,0,0,0,5,9
EJG Morgan,TG Southee,6,3,1,1,0,0,0,1,5,9
SR Watson,Mohammed Shami,6,2,2,0,0,0,1,1,4,2
M Vijay,NLTC Perera,4,1,2,0,0,1,0,0,2,2
WP Saha,MC Henriques,4,1,2,0,0,0,0,1,4,2
BCJ Cutting,MM Sharma,3,1,1,0,0,0,1,0,1,2
M Vijay,S Nadeem,4,0,2,1,0,1,0,0,2,9
SS Tiwary,CR Brathwaite,2,0,2,0,0,0,0,0,4,3
SE Marsh,P Negi,3,2,0,0,0,1,0,0,4,4
Yuvraj Singh,PJ Sangwan,1,0,1,0,0,0,0,0,4,7
Yuvraj Singh,A Zampa,3,2,0,0,0,0,0,1,4,10
AD Russell,MM Sharma,4,1,2,0,0,0,1,0,1,2
GJ Bailey,A Mishra,3,1,2,0,0,0,0,0,3,3
JC Buttler,I Sharma,1,1,0,0,0,0,0,0,2,5
BB McCullum,S Nadeem,11,3,6,0,0,2,0,0,5,9
MS Dhoni,P Kumar,2,0,1,0,0,1,0,0,2,2
P Kumar,B Kumar,3,0,2,0,0,1,0,0,7,3
Shakib Al Hasan,BB Sran,3,0,3,0,0,0,0,0,4,3
P Negi,AB Dinda,6,2,1,1,0,1,1,0,7,3
MC Henriques,JO Holder,5,0,4,0,0,1,0,0,7,5
SE Marsh,S Kaushik,3,1,1,0,0,0,0,1,4,9
DJ Hooda,SP Narine,4,0,3,0,0,0,1,0,5,9
DJ Hooda,Mohammed Shami,2,0,2,0,0,0,0,0,5,2
YK Pathan,MC Henriques,10,2,5,2,0,0,0,1,4,2
RR Pant,A Zampa,5,2,1,1,0,0,0,1,4,10
Ishan Kishan,Mohammed Shami,2,0,2,0,0,0,0,0,3,2
WP Saha,SR Watson,1,0,1,0,0,0,0,0,4,9
SW Billings,Iqbal Abdulla,3,2,1,0,0,0,0,0,4,5
TM Head,MJ McClenaghan,7,1,1,3,0,1,1,0,4,2
MC Henriques,JJ Bumrah,6,2,4,0,0,0,0,0,7,5
MJ McClenaghan,Kuldeep Yadav,5,2,1,0,0,0,1,1,2,7
KD Karthik,TA Boult,4,3,0,0,0,1,0,0,2,9
CH Morris,UT Yadav,3,2,0,0,0,0,0,1,1,9
CA Lynn,JJ Bumrah,6,2,1,3,0,0,0,0,5,5
KL Rahul,P Negi,6,2,4,0,0,0,0,0,2,4
KK Nair,MC Henriques,12,4,5,0,0,1,1,1,2,2
RR Pant,DJ Hooda,3,0,2,1,0,0,0,0,4,3
Bipul Sharma,NLTC Perera,3,1,1,1,0,0,0,0,1,2
JC Buttler,MR Marsh,2,1,0,0,0,0,0,1,2,7
MC Henriques,NLTC Perera,3,0,1,1,0,1,0,0,7,2
Harbhajan Singh,JP Faulkner,3,1,2,0,0,0,0,0,5,8
RV Uthappa,A Mishra,24,10,8,1,0,2,2,1,4,3
JP Duminy,SM Boland,4,1,2,0,0,0,0,1,2,9
DA Warner,AF Milne,7,1,3,0,0,2,1,0,5,3
MS Dhoni,A Nehra,8,2,3,0,0,0,1,2,2,3
HH Pandya,MC Henriques,7,3,4,0,0,0,0,0,3,2
S Kaushik,Sachin Baby,2,1,0,0,0,0,0,1,8,1
MP Stoinis,YS Chahal,2,0,2,0,0,0,0,0,2,9
KD Karthik,AS Rajpoot,2,1,1,0,0,0,0,0,2,3
AM Rahane,STR Binny,17,6,6,0,0,5,0,0,5,4
AJ Finch,MJ McClenaghan,8,2,4,1,0,1,0,0,5,2
RA Jadeja,GB Hogg,3,2,1,0,0,0,0,0,7,5
S Dhawan,J Yadav,11,5,5,1,0,0,0,0,4,5
HH Pandya,A Nehra,3,2,1,0,0,0,0,0,3,3
CA Lynn,MJ McClenaghan,2,1,1,0,0,0,0,0,5,2
Sachin Baby,B Kumar,9,1,4,1,0,2,0,1,4,3
PSP Handscomb,TG Southee,4,2,2,0,0,0,0,0,9,9
SS Iyer,AD Russell,6,4,0,0,0,0,0,2,9,3
DA Miller,SP Narine,1,0,1,0,0,0,0,0,5,9
Sachin Baby,Mustafizur Rahman,8,0,3,2,0,1,2,0,4,2
CA Lynn,TG Southee,2,1,0,1,0,0,0,0,5,9
KS Williamson,T Shamsi,6,0,5,0,0,1,0,0,7,9
DA Warner,A Mishra,11,2,6,1,0,1,0,1,5,3
DR Smith,M Ashwin,3,2,1,0,0,0,0,0,5,2
AB de Villiers,KJ Abbott,3,2,0,0,0,0,0,1,1,8
M Vijay,I Sharma,11,7,2,0,0,1,1,0,2,5
M Vijay,A Zampa,14,3,8,0,0,1,2,0,2,10
HM Amla,AB Dinda,4,2,2,0,0,0,0,0,5,3
NV Ojha,Z Khan,7,2,3,1,0,0,1,0,7,9
SV Samson,MJ McClenaghan,6,3,1,0,0,0,1,1,4,2
DJ Hooda,DJ Bravo,7,2,2,1,0,0,0,2,5,3
EJG Morgan,HH Pandya,3,1,2,0,0,0,0,0,5,5
SR Watson,RP Singh,2,1,0,0,0,0,0,1,4,2
BCJ Cutting,DJ Bravo,5,2,1,1,0,1,0,0,1,3
V Kohli,MC Henriques,21,6,8,2,1,2,2,0,4,2
KK Nair,Sandeep Sharma,2,1,1,0,0,0,0,0,2,9
V Kohli,R Ashwin,16,7,8,0,0,1,0,0,4,2
V Kohli,P Negi,17,1,13,1,0,1,1,0,4,4
